[0.14616818075937574, 0.02177964127649662, 0.018634987188446306, 0.02177964127649662]
[0.13690892150011646, 0.018634987188446306, 0.02795248078266946, 0.024807826694619145]
[0.021721406941532725, 0.024807826694619145, 0.018634987188446306, 0.018634987188446306]
[0.021721406941532725, 0.021721406941532725, 0.018634987188446306, 0.018634987188446306]
[0.027894246447705565, 0.07465641742371303, 0.027894246447705565, 0.021721406941532725]
[0.21412764966224085, 0.021721406941532725, 0.018634987188446306, 0.5994642441183321]
[0.024807826694619145, 0.021721406941532725, 0.5870020964360587, 0.018634987188446306]
[0.018634987188446306, 0.018634987188446306, 0.018634987188446306, 0.018634987188446306]
[0.018634987188446306, 0.021721406941532725, 0.018634987188446306, 0.021721406941532725]
[0.02486606102958304, 0.024924295364546933, 0.024924295364546933, 0.018634987188446306]
[0.024807826694619145, 0.018634987188446306, 0.021721406941532725, 0.018634987188446306]
[0.03103890053575588, 0.02177964127649662, 0.021721406941532725, 0.030980666200791984]
[0.021721406941532725, 0.018634987188446306, 0.024807826694619145, 0.021721406941532725]
[0.021721406941532725, 0.021721406941532725, 0.018634987188446306, 0.018634987188446306]
[0.021721406941532725, 0.031097134870719773, 0.021721406941532725, 0.027894246447705565]
[0.1397041695783834, 0.02177964127649662, 0.018634987188446306, 0.018634987188446306]
[0.024807826694619145, 0.021721406941532725, 0.03418355462380619, 0.018634987188446306]
[0.018634987188446306, 0.018634987188446306, 0.018634987188446306, 0.018634987188446306]
[0.021721406941532725, 0.027894246447705565, 0.018634987188446306, 0.018634987188446306]
[0.018634987188446306, 0.5277777777777778, 0.021721406941532725, 0.024924295364546933]
