[0.23423423423423423, 0.0045045045045045045, 0.0045045045045045045]
[0.18468468468468469, 0.009009009009009009, 0.0045045045045045045]
[0.0045045045045045045, 0.013513513513513514, 0.0045045045045045045]
[0.0045045045045045045, 0.009009009009009009, 0.0045045045045045045]
[0.013513513513513514, 0.15315315315315314, 0.018018018018018018]
[0.3063063063063063, 0.0045045045045045045, 0.0045045045045045045]
[0.0045045045045045045, 0.0045045045045045045, 0.8558558558558559]
[0.0045045045045045045, 0.0045045045045045045, 0.009009009009009009]
[0.009009009009009009, 0.009009009009009009, 0.0045045045045045045]
[0.009009009009009009, 0.0045045045045045045, 0.0045045045045045045]
[0.0045045045045045045, 0.0045045045045045045, 0.0045045045045045045]
[0.02252252252252252, 0.009009009009009009, 0.009009009009009009]
[0.0045045045045045045, 0.009009009009009009, 0.0045045045045045045]
[0.0045045045045045045, 0.0045045045045045045, 0.009009009009009009]
[0.0045045045045045045, 0.0045045045045045045, 0.018018018018018018]
[0.16666666666666666, 0.0045045045045045045, 0.009009009009009009]
[0.0045045045045045045, 0.0045045045045045045, 0.0045045045045045045]
[0.0045045045045045045, 0.0045045045045045045, 0.0045045045045045045]
[0.0045045045045045045, 0.009009009009009009, 0.018018018018018018]
[0.0045045045045045045, 0.7297297297297297, 0.0045045045045045045]
