[0.23423423423423423, 0.0045045045045045045, 0.0045045045045045045]
[0.17567567567567569, 0.0045045045045045045, 0.009009009009009009]
[0.0045045045045045045, 0.0045045045045045045, 0.0045045045045045045]
[0.0045045045045045045, 0.0045045045045045045, 0.009009009009009009]
[0.009009009009009009, 0.10810810810810811, 0.0045045045045045045]
[0.27927927927927926, 0.0045045045045045045, 0.0045045045045045045]
[0.0045045045045045045, 0.0045045045045045045, 0.7927927927927928]
[0.0045045045045045045, 0.0045045045045045045, 0.018018018018018018]
[0.013513513513513514, 0.009009009009009009, 0.0045045045045045045]
[0.0045045045045045045, 0.009009009009009009, 0.013513513513513514]
[0.0045045045045045045, 0.0045045045045045045, 0.0045045045045045045]
[0.018018018018018018, 0.0045045045045045045, 0.03153153153153153]
[0.0045045045045045045, 0.0045045045045045045, 0.009009009009009009]
[0.0045045045045045045, 0.0045045045045045045, 0.0045045045045045045]
[0.018018018018018018, 0.0045045045045045045, 0.013513513513513514]
[0.18468468468468469, 0.0045045045045045045, 0.0045045045045045045]
[0.018018018018018018, 0.0045045045045045045, 0.036036036036036036]
[0.0045045045045045045, 0.0045045045045045045, 0.0045045045045045045]
[0.0045045045045045045, 0.013513513513513514, 0.013513513513513514]
[0.0045045045045045045, 0.7927927927927928, 0.013513513513513514]
